1,101,4.0
1,102,3.5
1,103,5.0
1,104,3.0
1,106,5.0
1,109,2.0
2,101,2.0
2,102,3.0
2,104,4.5
2,105,4.0
3,101,4.0
3,103,4.5
3,105,2.5
3,106,4.0
4,102,4.0
4,104,3.0
4,106,4.5
4,107,3.0
5,101,3.5
5,103,2.0
5,104,4.0
5,106,4.5
6,108,4.0
6,109,3.5
6,110,4.5
7,101,3.0
7,103,3.5
7,110,4.0
8,101,4.5
8,104,4.0
8,111,5.0
9,103,4.0
9,105,3.0
9,112,4.0
10,102,3.5
10,104,3.0
10,113,4.5
11,114,4.0
11,101,3.0
12,115,4.0
12,104,4.0
13,116,3.5
13,101,2.5
14,117,4.5
14,102,4.0
15,103,4.0
15,118,5.0
16,119,4.0
16,105,3.5
17,120,4.0
17,103,4.5
18,101,3.5
18,104,4.0
19,102,4.5
20,105,3.5
